job_title,job_url,location,job_type,salary,skills
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54606079?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,London,"Permanent, full-time",Competitive salary,"power bi, python, sql, tableau"
Junior Data Analyst,https://www.reed.co.uk/jobs/junior-data-analyst/54664918?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Chertsey, Surrey","Permanent, full-time",Competitive salary,"excel, power bi"
Data Analyst Apprentice,https://www.reed.co.uk/jobs/data-analyst-apprentice/54636069?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Stafford, Staffordshire","Permanent, full-time","£17,000 - £19,000 per annum","excel, power bi, sql"
Principal Data Analyst,https://www.reed.co.uk/jobs/principal-data-analyst/54757746?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,London,"Permanent, full-time",Competitive salary,"python, sql, tableau"
Data Analyst Apprentice,https://www.reed.co.uk/jobs/data-analyst-apprentice/54770347?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Trafford Park, Lancashire","Permanent, full-time","£18,000 - £21,000 per annum","excel, power bi"
BI & Data Analyst,https://www.reed.co.uk/jobs/bi-data-analyst/54588925?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Loudwater, High Wycombe, Buckinghamshire","Permanent, full-time",Salary negotiable,"power bi, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54709993?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Leicester, Leicestershire","Permanent, full-time","£40,000 - £51,000 per annum","power bi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54759201?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Stoke-on-Trent, Staffordshire","Permanent, full-time","£35,000 - £40,000 per annum","power bi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54617443?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,London,"Permanent, full-time",Salary negotiable,"excel, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54643219?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Sheffield, South Yorkshire","Permanent, full-time","£40,000 - £46,000 per annum","sql, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54643195?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Sheffield, South Yorkshire","Permanent, full-time","£40,000 - £47,000 per annum",sql
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54683411?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Preston, Lancashire","Permanent, full-time","£40,000 - £60,000 per annum",sql
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54759157?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Stoke-on-Trent, Staffordshire","Permanent, full-time","£35,000 - £40,000 per annum","power bi, powerbi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54683542?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Preston, Lancashire","Permanent, full-time","£50,000 - £60,000 per annum",sql
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54722739?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Coventry, West Midlands (County)","Permanent, full-time","£45,000 - £50,000 per annum",sql
Data analyst,https://www.reed.co.uk/jobs/data-analyst/54531202?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Exeter, Devon","Contract, full-time",£300 - £340 per day,"powerbi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54759019?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Crewe, Cheshire","Permanent, full-time","£35,000 - £45,000 per annum","power bi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54410962?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Southampton, Hampshire","Permanent, full-time","£40,000 - £60,000 per annum",python
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54616487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom,"Poole, Dorset","Permanent, full-time",Salary negotiable,"excel, power bi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54606079?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,London,"Permanent, full-time",Competitive salary,"power bi, python, sql, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54642479?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Sheffield, South Yorkshire","Permanent, full-time","£42,000 - £46,000 per annum","power bi, sql, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54683344?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Preston, Lancashire","Permanent, full-time","£40,000 - £55,000 per annum","power bi, python, sql, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54664261?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Nottingham, Nottinghamshire","Permanent, full-time","£35,000 - £50,000 per annum, negotiable","excel, python, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54759458?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Crewe, Cheshire","Permanent, full-time","£40,000 - £45,000 per annum","power bi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54274978?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,London,"Permanent, full-time","£34,750 per annum",excel
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54779888?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Peterborough, Cambridgeshire","Permanent, full-time","£35,000 - £40,000 per annum","python, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54665303?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,London,"Permanent, full-time","£55,000 - £78,000 per annum","power bi, python, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54602165?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,London,"Permanent, full-time","£40,000 - £50,000 per annum","excel, sql, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54574737?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,London,"Permanent, full-time","£40,000 - £50,000 per annum","excel, sql, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54545289?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Dartford, Kent","Permanent, full-time","£31,000 - £35,000 per annum","excel, power bi, r, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54702648?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Preston, Lancashire","Contract, full-time","£45,000 - £55,000 per annum",sql
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54765388?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Furzton, Buckinghamshire","Permanent, full-time","£40,000 - £80,000 per annum","powerbi, python, sql, tableau"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54547482?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Exeter, Devon","Permanent, full-time","£31,000 - £33,000 per annum, OTE, inc benefits","excel, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54539466?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Chorley, Lancashire","Permanent, full-time","£24,000 - £26,000 per annum",excel
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54780430?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D2,"Crewe, Cheshire","Permanent, full-time","£35,000 - £40,000 per annum","power bi, sql"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/54606079?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D3,London,"Permanent, full-time",Competitive salary,"power bi, python, sql, tableau"
data analyst,https://www.reed.co.uk/jobs/data-analyst/54758123?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-united-kingdom%3Fpageno%3D3,"Edinburgh, Midlothian","Contract, full-time",Salary not specified,sql
